"schema_name","domain","table_name","owner_service","tenant_scoped","partition_strategy","pii_class"
"platform","ai_platform","ai_inference_logs","ai-engine-service","yes","monthly_time","low"
"platform","ai_platform","ai_prompt_templates","ai-engine-service","yes","none","low"
"platform","ai_platform","ai_prompt_versions","ai-engine-service","yes","none","low"
"platform","ai_platform","ai_recommendations","ai-engine-service","yes","none","low"
"platform","ai_platform","burnout_risk_scores","ai-engine-service","yes","none","low"
"platform","ai_platform","chat_context_windows","ai-engine-service","yes","none","high"
"platform","ai_platform","chat_guardrail_events","ai-engine-service","yes","monthly_time","high"
"platform","ai_platform","chat_messages","ai-engine-service","yes","none","high"
"platform","ai_platform","chat_sessions","ai-engine-service","yes","none","high"
"platform","ai_platform","emotion_analysis_results","ai-engine-service","yes","none","low"
"platform","ai_platform","feature_backfill_runs","ai-engine-service","yes","none","medium"
"platform","ai_platform","feature_definitions","ai-engine-service","yes","none","medium"
"platform","ai_platform","feature_groups","ai-engine-service","yes","none","medium"
"platform","ai_platform","feature_store_snapshots","ai-engine-service","yes","monthly_time","medium"
"platform","ai_platform","inference_requests","ai-engine-service","yes","none","low"
"platform","ai_platform","inference_responses","ai-engine-service","yes","none","low"
"platform","ai_platform","ml_model_versions","ai-engine-service","yes","none","medium"
"platform","ai_platform","ml_models","ai-engine-service","yes","none","medium"
"platform","ai_platform","model_artifacts","ai-engine-service","yes","none","medium"
"platform","ai_platform","model_deployment_events","ai-engine-service","yes","monthly_time","medium"
"platform","ai_platform","model_deployment_targets","ai-engine-service","yes","none","medium"
"platform","ai_platform","model_drift_events","ai-engine-service","yes","monthly_time","medium"
"platform","ai_platform","model_drift_monitors","ai-engine-service","yes","none","medium"
"platform","ai_platform","model_eval_reports","ai-engine-service","yes","none","medium"
"platform","ai_platform","model_fairness_reports","ai-engine-service","yes","none","medium"
"platform","ai_platform","model_retraining_policies","ai-engine-service","yes","none","medium"
"platform","ai_platform","model_retraining_runs","ai-engine-service","yes","none","medium"
"platform","ai_platform","model_training_datasets","ai-engine-service","yes","none","medium"
"platform","ai_platform","model_training_metrics","ai-engine-service","yes","none","medium"
"platform","ai_platform","model_training_runs","ai-engine-service","yes","none","medium"
"platform","ai_platform","nlp_entities","ai-engine-service","yes","none","low"
"platform","ai_platform","nlp_intents","ai-engine-service","yes","none","low"
"platform","ai_platform","nlp_training_corpora","ai-engine-service","yes","none","low"
"platform","ai_platform","recommendation_feedback","ai-engine-service","yes","none","low"
"platform","ai_platform","recommendation_overrides","ai-engine-service","yes","none","low"
"platform","ai_platform","voice_interactions","ai-engine-service","yes","none","high"
"platform","ai_platform","voice_transcripts","ai-engine-service","yes","none","high"
"platform","ai_platform","wellness_risk_scores","ai-engine-service","yes","none","low"
"platform","analytics_reporting","analytics_access_logs","analytics-service","yes","monthly_time","medium"
"platform","analytics_reporting","analytics_cost_snapshots","analytics-service","yes","monthly_time","medium"
"platform","analytics_reporting","analytics_event_dead_letters","analytics-service","yes","none","medium"
"platform","analytics_reporting","analytics_events","analytics-service","yes","monthly_time","medium"
"platform","analytics_reporting","analytics_stream_offsets","analytics-service","yes","monthly_time","medium"
"platform","analytics_reporting","anomaly_alert_events","analytics-service","yes","monthly_time","low"
"platform","analytics_reporting","anomaly_alerts","analytics-service","yes","none","low"
"platform","analytics_reporting","benchmark_definitions","analytics-service","yes","none","low"
"platform","analytics_reporting","benchmark_results","analytics-service","yes","none","low"
"platform","analytics_reporting","cohort_definitions","analytics-service","yes","none","low"
"platform","analytics_reporting","cohort_memberships","analytics-service","yes","none","low"
"platform","analytics_reporting","dashboard_definitions","analytics-service","yes","none","low"
"platform","analytics_reporting","dashboard_subscriptions","analytics-service","yes","none","low"
"platform","analytics_reporting","dashboard_widget_queries","analytics-service","yes","none","low"
"platform","analytics_reporting","dashboard_widgets","analytics-service","yes","none","low"
"platform","analytics_reporting","data_lineage_edges","analytics-service","yes","none","low"
"platform","analytics_reporting","data_lineage_jobs","analytics-service","yes","none","low"
"platform","analytics_reporting","data_mart_refresh_runs","analytics-service","yes","none","low"
"platform","analytics_reporting","data_mart_tables","analytics-service","yes","none","low"
"platform","analytics_reporting","data_quality_incidents","analytics-service","yes","none","low"
"platform","analytics_reporting","data_quality_results","analytics-service","yes","none","low"
"platform","analytics_reporting","data_quality_rules","analytics-service","yes","none","low"
"platform","analytics_reporting","forecast_accuracy_metrics","analytics-service","yes","none","medium"
"platform","analytics_reporting","forecast_outputs","analytics-service","yes","none","medium"
"platform","analytics_reporting","forecast_runs","analytics-service","yes","none","medium"
"platform","analytics_reporting","kpi_daily_snapshots","analytics-service","yes","monthly_time","medium"
"platform","analytics_reporting","kpi_definitions","analytics-service","yes","none","medium"
"platform","analytics_reporting","kpi_monthly_snapshots","analytics-service","yes","monthly_time","medium"
"platform","analytics_reporting","kpi_targets","analytics-service","yes","none","medium"
"platform","analytics_reporting","kpi_weekly_snapshots","analytics-service","yes","monthly_time","medium"
"platform","analytics_reporting","olap_query_logs","analytics-service","yes","monthly_time","low"
"platform","analytics_reporting","query_performance_logs","analytics-service","yes","monthly_time","low"
"platform","analytics_reporting","report_definitions","analytics-service","yes","none","medium"
"platform","analytics_reporting","report_distribution_logs","analytics-service","yes","monthly_time","medium"
"platform","analytics_reporting","report_filters","analytics-service","yes","none","medium"
"platform","analytics_reporting","report_run_artifacts","analytics-service","yes","none","medium"
"platform","analytics_reporting","report_runs","analytics-service","yes","none","medium"
"platform","analytics_reporting","report_schedules","analytics-service","yes","none","medium"
"platform","analytics_reporting","report_versions","analytics-service","yes","none","medium"
"platform","attendance_leave","attendance_breaches","attendance-service","yes","none","low"
"platform","attendance_leave","attendance_device_logs","attendance-service","yes","monthly_time","low"
"platform","attendance_leave","attendance_devices","attendance-service","yes","none","low"
"platform","attendance_leave","attendance_exceptions","attendance-service","yes","none","low"
"platform","attendance_leave","attendance_payroll_links","attendance-service","yes","none","restricted"
"platform","attendance_leave","attendance_policies","attendance-service","yes","none","low"
"platform","attendance_leave","attendance_records","attendance-service","yes","none","low"
"platform","attendance_leave","attendance_regularizations","attendance-service","yes","none","low"
"platform","attendance_leave","attendance_rules","attendance-service","yes","none","low"
"platform","attendance_leave","attendance_snapshots","attendance-service","yes","monthly_time","low"
"platform","attendance_leave","biometric_sync_errors","attendance-service","yes","none","low"
"platform","attendance_leave","biometric_sync_jobs","attendance-service","yes","none","low"
"platform","attendance_leave","gps_attendance_points","attendance-service","yes","none","low"
"platform","attendance_leave","gps_spoofing_alerts","attendance-service","yes","none","low"
"platform","attendance_leave","holiday_calendars","attendance-service","yes","none","low"
"platform","attendance_leave","holiday_events","attendance-service","yes","monthly_time","low"
"platform","attendance_leave","leave_accrual_rules","attendance-service","yes","none","low"
"platform","attendance_leave","leave_attachments","attendance-service","yes","none","low"
"platform","attendance_leave","leave_audit_events","attendance-service","yes","monthly_time","low"
"platform","attendance_leave","leave_balances","attendance-service","yes","none","low"
